"objective","user_id","earned_points","possible_points","per_earned"
"LO 1",619174,23,28,0.821428571428571
"LO 1",467491,23,28,0.821428571428571
"LO 1",141106,24,28,0.857142857142857
"LO 1",452055,19,28,0.678571428571429
"LO 1",934269,26,28,0.928571428571429
"LO 1",872560,26,28,0.928571428571429
"LO 1",946503,25,28,0.892857142857143
"LO 1",694800,24,28,0.857142857142857
"LO 1",645496,27,28,0.964285714285714
"LO 1",738594,19,28,0.678571428571429
"LO 1",746335,24,28,0.857142857142857
"LO 1",300899,23,28,0.821428571428571
"LO 1",313956,22,28,0.785714285714286
"LO 1",826974,24,28,0.857142857142857
"LO 1",259502,17,28,0.607142857142857
"LO 1",584084,26,28,0.928571428571429
"LO 1",928652,20,28,0.714285714285714
"LO 1",719588,24,28,0.857142857142857
"LO 1",608150,25,28,0.892857142857143
"LO 1",213085,26,28,0.928571428571429
"LO 1",603319,26,28,0.928571428571429
"LO 1",944608,22,28,0.785714285714286
"LO 1",905785,24,28,0.857142857142857
"LO 1",790081,21,28,0.75
"LO 1",413573,25,28,0.892857142857143
"LO 1",961690,25,28,0.892857142857143
"LO 1",200846,25,28,0.892857142857143
"LO 1",992857,22,28,0.785714285714286
"LO 1",511919,26,28,0.928571428571429
"LO 1",424296,25,28,0.892857142857143
"LO 1",671034,22,28,0.785714285714286
"LO 1",792278,26,28,0.928571428571429
"LO 1",114533,25,28,0.892857142857143
"LO 1",446693,22,28,0.785714285714286
"LO 1",354484,25,28,0.892857142857143
"LO 1",591194,26,28,0.928571428571429
"LO 1",757141,0,28,0
"LO 1",215919,25,28,0.892857142857143
"LO 1",627493,26,28,0.928571428571429
"LO 1",189971,24,28,0.857142857142857
"LO 1",773023,25,28,0.892857142857143
"LO 1",279745,26,28,0.928571428571429
"LO 1",624027,26,28,0.928571428571429
"LO 1",210815,23,28,0.821428571428571
"LO 1",274263,25,28,0.892857142857143
"LO 1",137788,28,28,1
"LO 1",877647,25,28,0.892857142857143
"LO 1",285012,26,28,0.928571428571429
"LO 1",155058,20,28,0.714285714285714
"LO 1",174883,21,28,0.75
"LO 1",313347,25,28,0.892857142857143
"LO 1",665975,25,28,0.892857142857143
"LO 1",699904,24,28,0.857142857142857
"LO 1",496350,27,28,0.964285714285714
"LO 1",994509,22,28,0.785714285714286
"LO 1",213601,23,28,0.821428571428571
"LO 1",745768,25,28,0.892857142857143
"LO 1",455376,22,28,0.785714285714286
"LO 1",235818,27,28,0.964285714285714
"LO 1",394868,24,28,0.857142857142857
"LO 1",490786,27,28,0.964285714285714
"LO 1",902576,28,28,1
"LO 1",283768,23,28,0.821428571428571
"LO 1",897613,19,28,0.678571428571429
"LO 1",547992,23,28,0.821428571428571
"LO 1",162788,26,28,0.928571428571429
"LO 1",698937,22,28,0.785714285714286
"LO 1",200447,26,28,0.928571428571429
"LO 1",273066,24,28,0.857142857142857
"LO 1",526878,22,28,0.785714285714286
"LO 1",767638,27,28,0.964285714285714
"LO 1",742125,25,28,0.892857142857143
"LO 1",842113,26,28,0.928571428571429
"LO 1",596963,24,28,0.857142857142857
"LO 1",959201,26,28,0.928571428571429
"LO 1",480247,24,28,0.857142857142857
"LO 1",340852,25,28,0.892857142857143
"LO 1",172310,28,28,1
"LO 1",261639,26,28,0.928571428571429
"LO 1",293916,19,28,0.678571428571429
"LO 1",311459,21,28,0.75
"LO 1",730424,21,28,0.75
"LO 1",293703,21,28,0.75
"LO 1",318554,27,28,0.964285714285714
"LO 1",682875,16,28,0.571428571428571
"LO 1",818844,24,28,0.857142857142857
"LO 1",146433,22,28,0.785714285714286
"LO 1",609818,23,28,0.821428571428571
"LO 1",219847,24,28,0.857142857142857
"LO 1",497193,22,28,0.785714285714286
"LO 1",340885,23,28,0.821428571428571
"LO 1",235047,27,28,0.964285714285714
"LO 1",169996,24,28,0.857142857142857
"LO 1",635909,26,28,0.928571428571429
"LO 1",836083,25,28,0.892857142857143
"LO 1",720903,25,28,0.892857142857143
"LO 1",587079,25,28,0.892857142857143
"LO 1",306362,26,28,0.928571428571429
"LO 1",627239,24,28,0.857142857142857
"LO 1",574640,24,28,0.857142857142857
"LO 1",260790,22,28,0.785714285714286
"LO 1",342290,26,28,0.928571428571429
"LO 1",114046,22,28,0.785714285714286
"LO 1",356238,26,28,0.928571428571429
"LO 1",433068,24,28,0.857142857142857
"LO 1",312240,23,28,0.821428571428571
"LO 1",531220,27,28,0.964285714285714
"LO 1",186264,22,28,0.785714285714286
"LO 1",105619,25,28,0.892857142857143
"LO 1",371360,25,28,0.892857142857143
"LO 1",483008,24,28,0.857142857142857
"LO 1",576109,25,28,0.892857142857143
"LO 1",791702,26,28,0.928571428571429
"LO 1",941738,23,28,0.821428571428571
"LO 1",364487,20,28,0.714285714285714
"LO 1",213044,24,28,0.857142857142857
"LO 1",304666,26,28,0.928571428571429
"LO 1",243581,26,28,0.928571428571429
"LO 1",261575,25,28,0.892857142857143
"LO 1",860285,25,28,0.892857142857143
"LO 1",473052,25,28,0.892857142857143
"LO 1",944728,20,28,0.714285714285714
"LO 1",566855,23,28,0.821428571428571
"LO 1",488026,26,28,0.928571428571429
"LO 1",893055,24,28,0.857142857142857
"LO 1",777855,22,28,0.785714285714286
"LO 1",673668,24,28,0.857142857142857
"LO 1",871700,28,28,1
"LO 1",977485,26,28,0.928571428571429
"LO 1",846748,23,28,0.821428571428571
"LO 1",482461,25,28,0.892857142857143
"LO 1",346705,26,28,0.928571428571429
"LO 1",990707,26,28,0.928571428571429
"LO 1",756338,22,28,0.785714285714286
"LO 1",436332,25,28,0.892857142857143
"LO 1",851174,26,28,0.928571428571429
"LO 1",633482,20,28,0.714285714285714
"LO 1",790634,26,28,0.928571428571429
"LO 1",109507,24,28,0.857142857142857
"LO 1",945453,24,28,0.857142857142857
"LO 1",835793,25,28,0.892857142857143
"LO 1",459715,22,28,0.785714285714286
"LO 1",584165,27,28,0.964285714285714
"LO 1",725069,26,28,0.928571428571429
"LO 1",627827,23,28,0.821428571428571
"LO 1",917600,22,28,0.785714285714286
"LO 1",749609,26,28,0.928571428571429
"LO 1",116084,26,28,0.928571428571429
"LO 1",986541,23,28,0.821428571428571
"LO 1",484243,25,28,0.892857142857143
"LO 1",984327,25,28,0.892857142857143
"LO 1",603656,26,28,0.928571428571429
"LO 1",399089,28,28,1
"LO 1",802904,25,28,0.892857142857143
"LO 1",365129,25,28,0.892857142857143
"LO 1",811475,27,28,0.964285714285714
"LO 1",493717,24,28,0.857142857142857
"LO 1",752174,24,28,0.857142857142857
"LO 1",300540,23,28,0.821428571428571
"LO 1",892778,24,28,0.857142857142857
"LO 1",803740,25,28,0.892857142857143
"LO 1",800795,24,28,0.857142857142857
"LO 1",156840,25,28,0.892857142857143
"LO 1",527113,26,28,0.928571428571429
"LO 1",739271,27,28,0.964285714285714
"LO 1",862389,20,28,0.714285714285714
"LO 1",627110,21,28,0.75
"LO 1",564853,24,28,0.857142857142857
"LO 1",527368,24,28,0.857142857142857
"LO 1",548296,23,28,0.821428571428571
"LO 1",653315,27,28,0.964285714285714
"LO 1",237990,26,28,0.928571428571429
"LO 1",738700,26,28,0.928571428571429
"LO 1",553696,28,28,1
"LO 1",208045,27,28,0.964285714285714
"LO 1",979883,25,28,0.892857142857143
"LO 1",929122,27,28,0.964285714285714
"LO 1",463364,24,28,0.857142857142857
"LO 1",251057,26,28,0.928571428571429
"LO 1",190524,20,28,0.714285714285714
"LO 1",199506,23,28,0.821428571428571
"LO 1",653306,22,28,0.785714285714286
"LO 1",443511,21,28,0.75
"LO 1",951181,28,28,1
"LO 1",871188,24,28,0.857142857142857
"LO 1",441257,24,28,0.857142857142857
"LO 1",953611,20,28,0.714285714285714
"LO 1",305123,26,28,0.928571428571429
"LO 1",608966,27,28,0.964285714285714
"LO 1",668904,23,28,0.821428571428571
"LO 1",428612,24,28,0.857142857142857
"LO 1",197796,26,28,0.928571428571429
"LO 1",851181,27,28,0.964285714285714
"LO 1",694531,25,28,0.892857142857143
"LO 1",796342,28,28,1
"LO 1",956734,23,28,0.821428571428571
"LO 1",203373,25,28,0.892857142857143
"LO 1",809955,23,28,0.821428571428571
"LO 1",521173,25,28,0.892857142857143
"LO 1",825330,25,28,0.892857142857143
"LO 1",945572,27,28,0.964285714285714
"LO 1",562494,24,28,0.857142857142857
"LO 1",249794,28,28,1
"LO 1",239730,25,28,0.892857142857143
"LO 1",383907,25,28,0.892857142857143
"LO 1",738652,25,28,0.892857142857143
"LO 1",128042,26,28,0.928571428571429
"LO 1",992471,26,28,0.928571428571429
"LO 1",601175,25,28,0.892857142857143
"LO 1",274283,23,28,0.821428571428571
"LO 1",493308,28,28,1
